DSN,Population,,DST,datagroupseries,,,,
,2010,2011,2012,2013,2014,2015,2016,2017
UnitedStates,309338421,311644280,313993272,316234505,318622525,321039839,323405935,325719178
Northeast,55388349,55642659,55860261,56047732,56203078,56296628,56359360,56470581
Midwest,66973360,67141501,67318295,67534451,67720120,67839187,67978168,68179351
South,114869241,116060993,117291728,118422269,119699966,121081238,122423457,123658624
West,72107471,72799127,73522988,74230053,74999361,75822786,76644950,77410622
